iter	Passed	Remaining
0	83	16685
1	163	16185
2	238	15681
3	301	14752
4	373	14559
5	441	14270
6	505	13931
7	575	13822
8	633	13441
9	688	13082
10	747	12843
11	805	12613
12	873	12566
13	939	12486
14	997	12302
15	1064	12242
16	1119	12050
17	1179	11930
18	1244	11859
19	1301	11716
20	1370	11685
21	1428	11553
22	1492	11489
23	1553	11393
24	1613	11296
25	1676	11222
26	1731	11094
27	1801	11068
28	1862	10982
29	1927	10924
30	1982	10809
31	2047	10746
32	2113	10695
33	2180	10644
34	2234	10535
35	2303	10491
36	2358	10389
37	2433	10374
38	2488	10272
39	2553	10213
40	2615	10141
41	2667	10034
42	2742	10013
43	2799	9926
44	2838	9776
45	2895	9693
46	2957	9627
47	3015	9548
48	3055	9417
49	3122	9368
50	3161	9235
51	3223	9175
52	3283	9105
53	3342	9037
54	3406	8980
55	3462	8902
56	3529	8855
57	3593	8798
58	3654	8733
59	3713	8665
60	3779	8613
61	3850	8569
62	3919	8523
63	3985	8468
64	4058	8428
65	4104	8333
66	4174	8286
67	4207	8166
68	4290	8146
69	4342	8064
70	4420	8031
71	4488	7978
72	4534	7887
73	4603	7838
74	4632	7720
75	4666	7613
76	4715	7532
77	4768	7457
78	4827	7393
79	4899	7349
80	4953	7277
81	5004	7201
82	5081	7163
83	5150	7112
84	5199	7035
85	5252	6962
86	5282	6861
87	5310	6758
88	5340	6661
89	5373	6568
90	5450	6528
91	5516	6475
92	5581	6421
93	5642	6362
94	5695	6295
95	5768	6249
96	5844	6205
97	5893	6133
98	5963	6084
99	6020	6020
100	6091	5970
101	6155	5914
102	6227	5864
103	6289	5805
104	6349	5745
105	6417	5691
106	6472	5625
107	6531	5563
108	6584	5497
109	6645	5437
110	6702	5374
111	6768	5318
112	6844	5269
113	6908	5211
114	6984	5162
115	7067	5117
116	7131	5058
117	7177	4987
118	7250	4935
119	7290	4860
120	7357	4803
121	7428	4749
122	7489	4688
123	7540	4621
124	7614	4568
125	7665	4502
126	7729	4442
127	7792	4383
128	7843	4316
129	7909	4259
130	7976	4201
131	8041	4142
132	8095	4078
133	8162	4020
134	8199	3948
135	8274	3893
136	8344	3837
137	8388	3768
138	8455	3710
139	8514	3649
140	8585	3592
141	8647	3532
142	8698	3467
143	8774	3412
144	8842	3354
145	8895	3290
146	8965	3232
147	9014	3167
148	9088	3110
149	9122	3040
150	9185	2980
151	9236	2916
152	9300	2856
153	9359	2795
154	9393	2727
155	9432	2660
156	9505	2603
157	9540	2536
158	9602	2476
159	9666	2416
160	9733	2357
161	9796	2298
162	9853	2236
163	9918	2177
164	9955	2111
165	9990	2046
166	10059	1987
167	10133	1930
168	10190	1869
169	10256	1809
170	10332	1752
171	10417	1695
172	10492	1637
173	10549	1576
174	10603	1514
175	10672	1455
176	10735	1395
177	10771	1331
178	10803	1267
179	10896	1210
180	10971	1151
181	11035	1091
182	11112	1032
183	11170	971
184	11239	911
185	11275	848
186	11307	786
187	11337	723
188	11406	663
189	11437	601
190	11469	540
191	11512	479
192	11592	420
193	11656	360
194	11722	300
195	11782	240
196	11853	180
197	11914	120
198	11950	60
199	12015	0
