position_name,total_aura_score,mean_aura_score,std_aura_score,total_actions,mean_xT_created
Center Forward,19.35731,0.00629,0.00852,3076,0.00553
Right Wing,14.37339,0.00431,0.00523,3334,0.00266
Left Center Back,14.3432,0.00251,0.0042,5709,0.00093
Left Wing,13.92256,0.00449,0.00512,3102,0.00281
Right Center Back,13.33364,0.00233,0.00396,5720,0.00053
Right Back,11.60406,0.00297,0.00352,3906,0.00092
Left Back,11.53698,0.00295,0.00304,3905,0.00098
Left Center Midfield,10.94479,0.00332,0.00398,3298,0.0014
Right Center Midfield,10.54845,0.00317,0.00326,3324,0.00138
Center Defensive Midfield,8.99232,0.00271,0.00304,3313,0.00111
Left Defensive Midfield,8.14483,0.00304,0.00344,2675,0.00193
Right Defensive Midfield,7.38173,0.00292,0.00327,2526,0.0021
Goalkeeper,6.76539,0.00339,0.0039,1994,-0.00014
Center Attacking Midfield,6.12977,0.00414,0.00498,1479,0.00245
Right Center Forward,3.64359,0.00525,0.00757,694,0.00863
Left Center Forward,3.63439,0.00502,0.00577,724,0.00565
Right Wing Back,3.1728,0.00339,0.00358,936,0.00253
Left Wing Back,2.57166,0.00343,0.00343,749,0.00139
Left Midfield,2.51149,0.00427,0.00424,588,0.00163
Center Back,2.309,0.00247,0.00382,935,0.00039
Right Midfield,1.96834,0.00329,0.00244,598,0.0042
Right Attacking Midfield,1.72336,0.00547,0.00785,315,0.00318
Left Attacking Midfield,1.33598,0.00442,0.00336,302,0.002
,0.0463,0.00926,0.00814,5,0.0
