position_name,total_aura_score,mean_aura_score,std_aura_score,total_actions,mean_action_val
,0.07625,0.01525,0.01555,5,0.0
Right Attacking Midfield,3.52718,0.0112,0.03289,315,0.00318
Center Forward,28.1482,0.00915,0.02005,3076,0.00553
Right Center Forward,5.49469,0.00792,0.02116,694,0.00863
Left Center Forward,4.98876,0.00689,0.00911,724,0.00565
Left Midfield,4.03716,0.00687,0.02043,588,0.00163
Left Wing,19.96891,0.00644,0.00966,3102,0.00281
Right Wing,20.86973,0.00626,0.01221,3334,0.00266
Left Attacking Midfield,1.88467,0.00624,0.00633,302,0.002
Center Attacking Midfield,8.66323,0.00586,0.00927,1479,0.00245
Goalkeeper,9.79783,0.00491,0.01389,1994,-0.00014
Right Wing Back,4.582,0.0049,0.00742,936,0.00253
Left Wing Back,3.43799,0.00459,0.0056,749,0.00139
Right Midfield,2.71371,0.00454,0.00337,598,0.0042
Left Center Midfield,14.71788,0.00446,0.00624,3298,0.0014
Right Center Midfield,14.82715,0.00446,0.00526,3324,0.00138
Left Defensive Midfield,11.59221,0.00433,0.0094,2675,0.00193
Right Back,16.72891,0.00428,0.00912,3906,0.00092
Right Defensive Midfield,10.25835,0.00406,0.00534,2526,0.0021
Left Back,15.7191,0.00403,0.00514,3905,0.00098
Center Defensive Midfield,11.66707,0.00352,0.00376,3313,0.00111
Left Center Back,18.10731,0.00317,0.00663,5709,0.00093
Center Back,2.87064,0.00307,0.00492,935,0.00039
Right Center Back,17.00203,0.00297,0.00595,5720,0.00053
