position_name,total_aura_score,mean_aura_score,std_aura_score,total_actions,mean_action_val
Center Forward,18.81492,0.00612,0.01319,3076,0.00079
Right Wing,13.56807,0.00407,0.00759,3334,0.00148
Left Center Midfield,12.71335,0.00385,0.00385,3298,0.00179
Right Center Midfield,11.94688,0.00359,0.00328,3324,0.00155
Left Wing,11.74793,0.00379,0.0056,3102,0.00213
Center Defensive Midfield,10.7659,0.00325,0.00286,3313,0.00197
Left Back,10.33049,0.00265,0.00301,3905,0.00176
Right Back,10.25045,0.00262,0.00423,3906,0.00117
Left Defensive Midfield,9.45968,0.00354,0.00429,2675,0.00261
Right Defensive Midfield,8.36631,0.00331,0.00362,2526,0.0024
Left Center Back,6.55395,0.00115,0.00428,5709,0.00152
Right Center Back,6.48061,0.00113,0.00375,5720,0.00111
Center Attacking Midfield,5.74661,0.00389,0.00646,1479,0.00163
Right Center Forward,4.71315,0.00679,0.01326,694,0.00617
Left Center Forward,3.89765,0.00538,0.00515,724,0.00148
Right Wing Back,3.33348,0.00356,0.00477,936,0.00314
Left Wing Back,3.00784,0.00402,0.00342,749,0.00303
Left Midfield,2.80565,0.00477,0.00926,588,0.00158
Right Attacking Midfield,2.41401,0.00766,0.02193,315,0.00272
Right Midfield,1.93376,0.00323,0.00317,598,0.00373
Left Attacking Midfield,1.26095,0.00418,0.00419,302,0.00105
Center Back,1.19383,0.00128,0.00284,935,0.0015
,0.06174,0.01235,0.01011,5,-0.02608
Goalkeeper,-12.18782,-0.00611,0.0106,1994,-0.00543
