position_name,total_aura_score,mean_aura_score,std_aura_score,total_actions,mean_xT_created
Center Forward,27.71536,0.00901,0.0185,3076,0.00553
Right Wing,20.30789,0.00609,0.0113,3334,0.00266
Left Wing,19.93291,0.00643,0.00888,3102,0.00281
Left Center Back,17.45265,0.00306,0.00637,5709,0.00093
Right Center Back,16.88999,0.00295,0.00601,5720,0.00053
Right Back,16.47978,0.00422,0.00632,3906,0.00092
Left Back,15.88762,0.00407,0.00487,3905,0.00098
Left Center Midfield,14.67488,0.00445,0.00642,3298,0.0014
Right Center Midfield,14.59525,0.00439,0.00492,3324,0.00138
Left Defensive Midfield,11.63785,0.00435,0.00803,2675,0.00193
Center Defensive Midfield,11.56566,0.00349,0.00343,3313,0.00111
Right Defensive Midfield,10.25848,0.00406,0.00472,2526,0.0021
Goalkeeper,9.81697,0.00492,0.00994,1994,-0.00014
Center Attacking Midfield,8.59743,0.00581,0.00904,1479,0.00245
Right Center Forward,5.63157,0.00811,0.02165,694,0.00863
Left Center Forward,5.25475,0.00726,0.00905,724,0.00565
Right Wing Back,4.88039,0.00521,0.00688,936,0.00253
Left Midfield,4.30618,0.00732,0.01516,588,0.00163
Left Wing Back,3.81889,0.0051,0.00555,749,0.00139
Right Attacking Midfield,3.6892,0.01171,0.03158,315,0.00318
Center Back,3.07568,0.00329,0.0057,935,0.00039
Right Midfield,2.85259,0.00477,0.00372,598,0.0042
Left Attacking Midfield,2.05886,0.00682,0.00641,302,0.002
,0.1012,0.02024,0.01258,5,0.0
