Feature,Data Type,Missing Count,Missing Pct (%),Unique Values
event_id,object,0,0.0,62194
match_id,int64,0,0.0,15
tournament,object,0,0.0,2
period,int64,0,0.0,5
minute,int64,0,0.0,128
second,int64,0,0.0,60
timestamp,object,0,0.0,42271
type,object,0,0.0,33
sub_type,float64,62194,100.0,0
possession,int64,0,0.0,265
possession_team,object,0,0.0,15
play_pattern,object,0,0.0,9
team,object,0,0.0,15
player,object,331,0.53,262
position,object,331,0.53,24
duration,float64,16900,27.17,35824
location_x,float64,572,0.92,1193
location_y,float64,572,0.92,800
dist_to_goal,float64,572,0.92,32267
angle_to_goal,float64,572,0.92,1497
under_pressure,bool,0,0.0,2
pass_length,float64,44373,71.35,11930
pass_angle,float64,44373,71.35,15144
pass_end_location_x,float64,44373,71.35,1185
pass_end_location_y,float64,44373,71.35,800
carry_end_location_x,float64,47604,76.54,1168
carry_end_location_y,float64,47604,76.54,797
pass_outcome,object,59309,95.36,5
shot_statsbomb_xg,float64,61766,99.31,366
shot_outcome,object,61766,99.31,8
has_360,bool,0,0.0,2
teammates_visible,float64,8987,14.45,11
opponents_visible,float64,8987,14.45,12
total_visible,float64,8987,14.45,22
closest_opp_dist,float64,9064,14.57,16019
closest_teammate_dist,float64,8987,14.45,2522
opponents_within_3m,float64,8987,14.45,6
opponents_within_5m,float64,8987,14.45,8
defenders_in_goal_cone,float64,8987,14.45,12
forward_passing_options,float64,8987,14.45,12
opponents_eliminated,float64,8987,14.45,12
line_breaking_pass,bool,0,0.0,2
