,location_x,dist_to_goal,teammates_visible,opponents_visible,closest_opp_dist,opponents_within_3m,opponents_within_5m,defenders_in_goal_cone,forward_passing_options,opponents_eliminated,pressing_intensity,spatial_superiority,short_combo_options,pass_length,duration
location_x,1.0,-0.977314502644476,-0.10267364015306286,0.570444626748511,-0.2324721309652675,0.17874348788959427,0.25019106317631573,0.28273205849524413,-0.30243869253851824,-0.014440383528945566,0.24400429264703316,-0.2960512804364632,-0.011033156023197658,-0.2177371110760763,-0.22243962079427834
dist_to_goal,-0.977314502644476,1.0,0.07795292821830742,-0.5736084934029712,0.26063013058221507,-0.19027543429732346,-0.2694124627805875,-0.35734819975389076,0.2496022373505115,0.0034884140929849435,-0.27012548995879565,0.32111164877264275,0.0052523190220865245,0.22086855947274703,0.21975612173506462
teammates_visible,-0.10267364015306286,0.07795292821830742,1.0,0.5194578357757534,-0.014591858799106582,-0.019338915226109425,-0.022286538487920282,0.2929285305143666,0.5224392987271566,0.07517105372145681,-0.0035205548058571097,0.10602876952218931,0.10267572553897941,-0.03997900382588906,-0.04414249733602068
opponents_visible,0.570444626748511,-0.5736084934029712,0.5194578357757534,1.0,-0.2020892202516292,0.12198629898730017,0.1830361056981758,0.5473934580958514,0.18862375534705605,0.09944595167852284,0.18525595903177938,-0.19848653480028627,0.023150757876532965,-0.1463759068905807,-0.1643515927524999
closest_opp_dist,-0.2324721309652675,0.26063013058221507,-0.014591858799106582,-0.2020892202516292,1.0,-0.5399867747762803,-0.6270045454214032,0.02613782851699698,0.2689346366301297,-0.0524618857614244,-0.6221978682632473,0.4937669673238031,-0.14644258642816918,0.21288374066569785,0.12216980605466947
opponents_within_3m,0.17874348788959427,-0.19027543429732346,-0.019338915226109425,0.12198629898730017,-0.5399867747762803,1.0,0.6589996002626176,-0.08587473743899336,-0.2795148998889697,0.0015102018422720727,0.7514188141249759,-0.38871580656738475,0.18476381392663052,-0.17652626393424672,-0.10154120914304185
opponents_within_5m,0.25019106317631573,-0.2694124627805875,-0.022286538487920282,0.1830361056981758,-0.6270045454214032,0.6589996002626176,1.0,-0.07493470516312682,-0.3418915716412216,0.027257787751281806,0.7282420886023883,-0.5794424056182174,0.23211509191067134,-0.20160649370223527,-0.12009495156220525
defenders_in_goal_cone,0.28273205849524413,-0.35734819975389076,0.2929285305143666,0.5473934580958514,0.02613782851699698,-0.08587473743899336,-0.07493470516312682,1.0,0.4371229133230283,0.13397339661095067,-0.08229658105062963,0.009071469752043572,-0.04796891613108367,0.022354848418265957,-0.02731209761491613
forward_passing_options,-0.30243869253851824,0.2496022373505115,0.5224392987271566,0.18862375534705605,0.2689346366301297,-0.2795148998889697,-0.3418915716412216,0.4371229133230283,1.0,0.12315915805778699,-0.3477742730633981,0.26992553708172523,-0.12608089412555254,0.17976012310166048,0.10794093888873446
opponents_eliminated,-0.014440383528945566,0.0034884140929849435,0.07517105372145681,0.09944595167852284,-0.0524618857614244,0.0015102018422720727,0.027257787751281806,0.13397339661095067,0.12315915805778699,1.0,0.03422846049481177,-0.038026872032901074,0.02582970642882197,0.4972819177903455,0.3890100124138512
pressing_intensity,0.24400429264703316,-0.27012548995879565,-0.0035205548058571097,0.18525595903177938,-0.6221978682632473,0.7514188141249759,0.7282420886023883,-0.08229658105062963,-0.3477742730633981,0.03422846049481177,1.0,-0.5179747670646019,0.24881917142276552,-0.21318463140716287,-0.11938868994806992
spatial_superiority,-0.2960512804364632,0.32111164877264275,0.10602876952218931,-0.19848653480028627,0.4937669673238031,-0.38871580656738475,-0.5794424056182174,0.009071469752043572,0.26992553708172523,-0.038026872032901074,-0.5179747670646019,1.0,0.15777889860948396,0.10492956712182415,0.07810743187982747
short_combo_options,-0.011033156023197658,0.0052523190220865245,0.10267572553897941,0.023150757876532965,-0.14644258642816918,0.18476381392663052,0.23211509191067134,-0.04796891613108367,-0.12608089412555254,0.02582970642882197,0.24881917142276552,0.15777889860948396,1.0,-0.10679356725379494,-0.04565500798741162
pass_length,-0.2177371110760763,0.22086855947274703,-0.03997900382588906,-0.1463759068905807,0.21288374066569785,-0.17652626393424672,-0.20160649370223527,0.022354848418265957,0.17976012310166048,0.4972819177903455,-0.21318463140716287,0.10492956712182415,-0.10679356725379494,1.0,0.8043576490628358
duration,-0.22243962079427834,0.21975612173506462,-0.04414249733602068,-0.1643515927524999,0.12216980605466947,-0.10154120914304185,-0.12009495156220525,-0.02731209761491613,0.10794093888873446,0.3890100124138512,-0.11938868994806992,0.07810743187982747,-0.04565500798741162,0.8043576490628358,1.0
