player_name,aura_score,xT_per_action,opp_bypassed,total_actions,matches,position
Romelu Lukaku Menama,0.00823,0.00952,0.09589,73,1,Center Forward
Patrik Schick,0.00679,0.0039,0.18421,76,1,Center Forward
Lautaro Javier Martínez,0.00649,0.02038,0.03448,87,2,Left Center Forward
Olivier Giroud,0.00597,0.00698,0.2293,157,3,Center Forward
Gerard Moreno Balaguero,0.00564,0.00613,0.34872,195,2,Center Forward
Youssef En-Nesyri,0.00525,0.00537,0.08333,156,3,Center Forward
Randal Kolo Muani,0.00487,0.01044,0.26271,118,2,Right Wing
Haris Seferović,0.00483,-6e-05,0.20896,67,1,Center Forward
Richarlison de Andrade,0.00483,0.00097,0.1358,81,1,Center Forward
Álvaro Borja Morata Martín,0.00454,0.00223,0.19231,182,2,Center Forward
Marcos Llorente Moreno,0.00447,0.00429,0.13699,146,2,Right Center Midfield
Harry Kane,0.00439,0.00778,0.27789,511,4,Center Forward
Ciro Immobile,0.00438,0.00124,0.10861,267,3,Center Forward
Marko Livaja,0.00413,0.00039,0.33735,83,2,Center Attacking Midfield
Roman Yaremchuk,0.00409,0.00156,0.175,120,1,Left Center Forward
Kylian Mbappé Lottin,0.00397,0.00622,0.32749,342,3,Left Wing
Bruno Petković,0.00382,0.00076,0.27097,155,3,Center Forward
Raheem Sterling,0.0038,0.00276,0.19187,443,4,Left Wing
Kevin De Bruyne,0.00379,0.00177,0.47967,123,1,Right Attacking Midfield
Ángel Fabián Di María Hernández,0.00378,0.00429,0.19512,123,2,Right Wing
Mikel Oyarzabal Ugarte,0.00358,0.00163,0.16216,185,2,Right Wing
Luuk de Jong,0.00356,0.01395,0.31667,60,1,Center Forward
Daniel Olmo Carvajal,0.00352,0.00255,0.31127,408,2,Left Wing
Yussuf Yurary Poulsen,0.00348,0.00198,0.27742,155,2,Center Forward
Tomáš Souček,0.00346,0.0022,0.4702,151,1,Left Center Midfield
Neymar da Silva Santos Junior,0.00337,0.003,0.53498,243,1,Center Attacking Midfield
Kasper Schmeichel,0.0033,2e-05,0.53788,132,2,Goalkeeper
Yann Sommer,0.00329,1e-05,1.08772,114,1,Goalkeeper
Federico Chiesa,0.00327,0.00246,0.28526,312,3,Right Wing
Bukayo Saka,0.00323,0.0005,0.22006,309,3,Right Wing
Federico Bernardeschi,0.00322,0.00132,0.33929,56,2,Left Wing
Kasper Dolberg,0.00321,0.00321,0.19685,127,2,Center Forward
João Félix Sequeira,0.00318,0.00274,0.34783,92,1,Left Wing
Manuel Obafemi Akanji,0.00316,0.00161,0.37984,129,1,Left Center Back
Mikkel Damsgaard,0.00311,0.00217,0.28804,184,2,Right Attacking Midfield
Silvan Widmer,0.00305,0.00045,0.59664,119,1,Right Back
Steven Zuber,0.00304,0.00162,0.10588,85,1,Left Wing
Jack Grealish,0.00302,0.00076,0.31818,110,3,Left Wing
Andrea Belotti,0.00299,0.00203,0.26582,79,3,Center Forward
Philip Foden,0.00292,0.00107,0.19858,141,2,Center Attacking Midfield
Julián Álvarez,0.00289,0.00045,0.11409,298,3,Left Center Forward
Martin Braithwaite Christensen,0.00287,0.00064,0.27068,266,2,Left Attacking Midfield
Jannik Vestergaard,0.00286,-0.0,0.35885,209,2,Left Center Back
Tomáš Holeš,0.00285,0.00446,0.22807,57,1,Right Center Midfield
Marcus Thuram,0.00284,0.00097,0.28387,155,2,Left Wing
Vinícius José Paixão de Oliveira Júnior,0.00282,0.00178,0.28767,73,1,Left Midfield
Ferrán Torres García,0.00279,0.00148,0.3133,233,2,Right Wing
Damián Emiliano Martínez,0.00277,1e-05,1.09286,140,3,Goalkeeper
Domenico Berardi,0.00274,0.00265,0.17614,176,3,Left Wing
Lionel Andrés Messi Cuccittini,0.00273,0.009,0.47856,583,3,Right Center Forward
Jeremy Doku,0.00273,0.00087,0.25472,106,1,Left Attacking Midfield
Xherdan Shaqiri,0.0027,0.00445,0.56311,103,1,Center Attacking Midfield
Mason Mount,0.0027,0.00162,0.29904,418,4,Center Attacking Midfield
Jakub Jankto,0.00269,0.00107,0.33803,71,1,Left Midfield
Ivan Perišić,0.00269,0.00112,0.39678,373,3,Left Wing
Joachim Andersen,0.00266,0.0001,0.35294,119,2,Right Center Back
Bryan Cristante,0.00265,0.00137,0.31061,132,2,Left Center Midfield
Andriy Yarmolenko,0.00265,9e-05,0.27907,129,1,Right Center Forward
Gonzalo Ariel Montiel,0.00265,0.02192,0.06098,82,2,Right Wing Back
Rodrygo Silva de Goes,0.00265,2e-05,0.18699,123,1,Left Midfield
Gianluigi Donnarumma,0.00262,0.0,0.37083,240,3,Goalkeeper
Andrej Kramarić,0.00255,0.00076,0.15672,268,3,Center Forward
Hugo Lloris,0.00252,8e-05,0.6755,151,3,Goalkeeper
Tomáš Vaclík,0.00251,1e-05,0.34615,52,1,Goalkeeper
Dominik Livaković,0.0025,2e-05,0.26131,199,3,Goalkeeper
Thibaut Courtois,0.00244,0.0,0.57143,70,1,Goalkeeper
Bruno Miguel Borges Fernandes,0.0024,0.00181,0.52332,193,1,Right Wing
Mislav Oršić,0.00238,0.00136,0.30952,168,3,Left Midfield
Denzel Dumfries,0.00238,0.00041,0.40164,122,1,Right Wing Back
Lovro Majer,0.00237,0.0039,0.28037,214,3,Left Center Midfield
Alexis Mac Allister,0.00233,0.00058,0.2384,474,3,Left Center Midfield
Ousmane Dembélé,0.00233,0.00087,0.29317,249,3,Right Wing
Nikola Vlašić,0.00232,0.00121,0.17647,153,3,Right Wing
Yahia Attiyat allah,0.00232,0.00254,0.4542,262,3,Left Back
Lorenzo Insigne,0.00228,0.00126,0.43539,503,3,Left Wing
Manuel Locatelli,0.00228,0.00076,0.21739,69,2,Right Center Midfield
Thomas Delaney,0.00224,0.00158,0.28571,224,2,Left Defensive Midfield
Marcus Rashford,0.00224,0.00106,0.2375,80,3,Left Wing
Emerson Palmieri dos Santos,0.00223,0.00027,0.28146,302,3,Left Back
Pablo Sarabia García,0.00222,9e-05,0.12903,62,1,Left Wing
Lucas Tolentino Coelho de Lima,0.00219,0.0026,0.21463,205,1,Right Defensive Midfield
Jude Bellingham,0.00217,0.00131,0.26316,209,2,Left Defensive Midfield
Youri Tielemans,0.00217,0.00032,0.28169,71,1,Right Defensive Midfield
Denis Lemi Zakaria Lako Lado,0.00216,0.0006,0.32051,78,1,Right Center Midfield
Achraf Dari,0.00215,0.00153,0.25714,280,3,Right Center Back
Petr Ševčík,0.00214,0.00056,0.38983,118,1,Left Wing
Kingsley Coman,0.00214,0.01065,0.32432,74,2,Right Wing
Steven Bergwijn,0.00213,0.00185,0.22034,59,1,Right Center Forward
Jordan Brian Henderson,0.00213,0.00104,0.31282,390,4,Left Defensive Midfield
Youssouf Fofana,0.0021,0.00091,0.30872,149,2,Left Defensive Midfield
Kieran Trippier,0.00208,0.00142,0.30952,168,3,Left Back
Jordan Pickford,0.00206,2e-05,0.564,250,4,Goalkeeper
Carlos Henrique Casimiro,0.00205,0.00518,0.36937,222,1,Left Defensive Midfield
Leonardo Spinazzola,0.00205,0.00167,0.30252,119,1,Left Back
Adrien Rabiot,0.00204,0.00061,0.4007,287,2,Left Defensive Midfield
Oleksandr Zinchenko,0.00204,0.00048,0.25926,162,1,Left Center Midfield
Nico Elvedi,0.00203,2e-05,0.42735,117,1,Right Center Back
Sofiane Boufal,0.00202,0.00083,0.42586,263,3,Left Midfield
Joakim Mæhle,0.00201,0.00114,0.287,223,2,Left Wing Back
Thiago Alcântara do Nascimento,0.00199,-0.00243,0.54286,70,2,Right Center Midfield
Antony Matheus dos Santos,0.00198,0.00062,0.35246,122,1,Right Midfield
Rodrigo Hernández Cascante,0.00198,0.00179,0.24615,130,2,Left Center Midfield
Achraf Hakimi Mouh,0.00197,0.00013,0.27626,514,3,Right Back
Memphis Depay,0.00197,-2e-05,0.48905,137,1,Left Center Forward
Daniel Wass,0.00197,0.00045,0.30534,131,2,Right Wing Back
Steven Berghuis,0.00194,0.01113,0.64356,101,1,Center Attacking Midfield
Viktor Tsygankov,0.00192,0.00016,0.28431,102,1,Left Wing
Yassine Bounou,0.00192,0.0,0.40217,184,3,Goalkeeper
Ondrej Celustka,0.00192,6e-05,0.39344,61,1,Right Center Back
Vladimír Coufal,0.00191,0.00059,0.72436,156,1,Right Back
Jens Stryger Larsen,0.0019,0.00035,0.40984,183,2,Right Wing Back
Antoine Griezmann,0.00189,0.00101,0.37867,375,3,Center Attacking Midfield
Éder Gabriel Militão,0.00188,0.00069,0.23729,236,1,Right Back
Andries Noppert,0.00186,1e-05,0.39806,103,1,Goalkeeper
Mathias Jensen,0.00186,8e-05,0.22,50,2,Left Center Midfield
Pedro González López,0.00184,0.00055,0.31365,491,2,Left Center Midfield
Simon Thorup Kjær,0.00184,4e-05,0.25194,258,2,Center Back
Thomas Vermaelen,0.00183,1e-05,0.19728,147,1,Center Back
Luke Shaw,0.00183,0.00111,0.35463,767,4,Left Back
Harry Maguire,0.00183,0.00055,0.36087,920,4,Left Center Back
Ruben Vargas,0.00182,0.00057,0.32143,112,1,Right Wing
Azzedine Ounahi,0.0018,0.00105,0.38353,425,3,Right Center Midfield
