player_name,total_aura_score,mean_aura_score,mean_pos_z_score,action_val_mean,line_breaks,total_actions,matches,position,aura_per_match
Achraf Dari,1.45956,0.00521,0.35278,0.00186,0.25714,280,3,Right Center Back,0.48652
Achraf Hakimi Mouh,2.85924,0.00556,0.12428,0.00079,0.27626,514,3,Right Back,0.95308
Adrien Rabiot,1.31205,0.00457,0.02534,0.00108,0.4007,287,2,Left Defensive Midfield,0.65602
Alexis Mac Allister,2.57233,0.00543,0.12485,0.00125,0.2384,474,3,Left Center Midfield,0.85744
Andrea Belotti,0.54749,0.00693,-0.10814,0.00473,0.26582,79,3,Center Forward,0.1825
Andreas Christensen,0.6457,0.00331,0.05696,0.00013,0.48205,195,2,Right Center Back,0.32285
Andrej Kramarić,1.5039,0.00561,-0.10117,0.00172,0.15672,268,3,Center Forward,0.5013
Antoine Griezmann,1.88272,0.00502,-0.06196,0.0017,0.37867,375,3,Center Attacking Midfield,0.62757
Aurélien Djani Tchouaméni,1.6326,0.00365,-0.06575,0.00294,0.39821,447,3,Right Defensive Midfield,0.5442
Aymeric Laporte,1.64488,0.00222,-0.13363,0.00021,0.42375,741,2,Right Center Back,0.82244
Azzedine Ounahi,2.54484,0.00599,0.16067,0.00184,0.38353,425,3,Right Center Midfield,0.84828
Badr Banoun,0.22219,0.00322,0.06131,0.00052,0.08696,69,2,Center Back,0.1111
Borna Sosa,0.72759,0.00353,-0.09603,0.00057,0.35922,206,2,Left Back,0.3638
Bruno Petković,1.23513,0.00797,-0.05591,0.00244,0.27097,155,3,Center Forward,0.41171
Bryan Cristante,0.82377,0.00624,0.33968,0.00179,0.31061,132,2,Left Center Midfield,0.41188
Bukayo Saka,2.24595,0.00727,0.08565,0.00147,0.22006,309,3,Right Wing,0.74865
Christian Nørgaard,0.61443,0.00424,0.04331,0.00074,0.22759,145,2,Right Attacking Midfield,0.30722
Ciro Immobile,2.27112,0.00851,-0.03216,0.00269,0.10861,267,3,Center Forward,0.75704
Cristian Gabriel Romero,1.41313,0.00359,0.10324,0.00027,0.46193,394,3,Right Center Back,0.47104
César Azpilicueta Tanco,1.45876,0.00359,-0.07244,0.00029,0.29064,406,2,Right Back,0.72938
Damián Emiliano Martínez,0.78459,0.0056,0.04973,-0.00045,1.09286,140,3,Goalkeeper,0.26153
Daniel Olmo Carvajal,3.39562,0.00832,0.09321,0.00382,0.31127,408,2,Left Wing,1.69781
Daniel Wass,0.6103,0.00466,-0.01431,0.00077,0.30534,131,2,Right Wing Back,0.30515
