player_name,total_aura_score,mean_aura_score,action_val_mean,line_breaks,total_actions,matches,position,aura_per_match
Harry Kane,3.29107,0.00644,0.00484,0.27789,511,4,Center Forward,0.82277
Lionel Andrés Messi Cuccittini,3.08451,0.00529,0.00792,0.47856,583,3,Right Center Forward,1.02817
Mateo Kovačić,2.72468,0.00373,0.0023,0.33926,731,3,Left Center Midfield,0.90823
Enzo Fernandez,2.55099,0.00373,0.00171,0.34846,683,3,Center Defensive Midfield,0.85033
Luka Modrić,2.37665,0.00311,0.00263,0.48168,764,3,Right Center Midfield,0.79222
Marco Verratti,2.19009,0.00303,0.00089,0.30152,723,3,Left Center Midfield,0.73003
Alexis Mac Allister,2.17955,0.0046,0.00118,0.2384,474,3,Left Center Midfield,0.72652
Raheem Sterling,2.09182,0.00472,0.00239,0.19187,443,4,Left Wing,0.52295
Luke Shaw,2.08947,0.00272,0.00221,0.35463,767,4,Left Back,0.52237
Daniel Olmo Carvajal,2.054,0.00503,0.00237,0.31127,408,2,Left Wing,1.027
Jorge Luiz Frello Filho,2.00992,0.003,0.00171,0.307,671,3,Center Defensive Midfield,0.66997
Kylian Mbappé Lottin,1.96588,0.00575,0.00454,0.32749,342,3,Left Wing,0.65529
Declan Rice,1.95898,0.00324,0.00115,0.27107,605,4,Left Defensive Midfield,0.48974
Kalvin Phillips,1.95213,0.00354,0.00103,0.22323,551,3,Right Defensive Midfield,0.65071
Azzedine Ounahi,1.86561,0.00439,0.00272,0.38353,425,3,Right Center Midfield,0.62187
Hakim Ziyech,1.79745,0.00342,0.00153,0.55323,526,3,Right Midfield,0.59915
Sergio Busquets i Burgos,1.79158,0.00347,0.00105,0.40232,517,2,Center Defensive Midfield,0.89579
Rodrigo Javier De Paul,1.77427,0.00356,0.00167,0.33066,499,3,Right Center Midfield,0.59142
Pedro González López,1.74182,0.00355,0.00101,0.31365,491,2,Left Center Midfield,0.87091
Aurélien Djani Tchouaméni,1.70436,0.00381,0.00409,0.39821,447,3,Right Defensive Midfield,0.56812
Achraf Hakimi Mouh,1.68698,0.00328,0.00126,0.27626,514,3,Right Back,0.56233
Antoine Griezmann,1.56407,0.00417,0.00307,0.37867,375,3,Center Attacking Midfield,0.52136
Kyle Walker,1.49598,0.00221,0.00069,0.29204,678,4,Right Back,0.374
Lorenzo Insigne,1.47474,0.00293,0.0018,0.43539,503,3,Left Wing,0.49158
Julián Álvarez,1.46994,0.00493,-0.00105,0.11409,298,3,Left Center Forward,0.48998
