player_name,total_aura_score,mean_aura_score,xT_per_action,opp_bypassed,total_actions,matches,position,aura_per_match
Daniel Olmo Carvajal,3.46352,0.00849,0.00382,0.31127,408,2,Left Wing,1.73176
Lionel Andrés Messi Cuccittini,3.80149,0.00652,0.01005,0.47856,583,3,Right Center Forward,1.26716
Harry Kane,4.93667,0.00966,0.00905,0.27789,511,4,Center Forward,1.23417
Kylian Mbappé Lottin,3.36129,0.00983,0.00778,0.32749,342,3,Left Wing,1.12043
Pedro González López,2.22018,0.00452,0.0011,0.31365,491,2,Left Center Midfield,1.11009
Sergio Busquets i Burgos,2.08843,0.00404,0.00096,0.40232,517,2,Center Defensive Midfield,1.04421
Jordi Alba Ramos,2.0458,0.00367,0.00055,0.38779,557,2,Left Back,1.0229
Marco Verratti,2.99815,0.00415,0.00067,0.30152,723,3,Left Center Midfield,0.99938
Martin Braithwaite Christensen,1.95178,0.00734,0.00164,0.27068,266,2,Left Attacking Midfield,0.97589
Gerard Moreno Balaguero,1.89631,0.00972,0.00718,0.34872,195,2,Center Forward,0.94816
Lorenzo Insigne,2.68953,0.00535,0.00199,0.43539,503,3,Left Wing,0.89651
Mateo Kovačić,2.65721,0.00364,0.00116,0.33926,731,3,Left Center Midfield,0.88574
Luka Modrić,2.65409,0.00347,0.002,0.48168,764,3,Right Center Midfield,0.8847
Raheem Sterling,3.53176,0.00797,0.00403,0.19187,443,4,Left Wing,0.88294
Marcelo Brozović,1.7516,0.0038,0.0008,0.24512,461,2,Center Defensive Midfield,0.8758
Alexis Mac Allister,2.58661,0.00546,0.00125,0.2384,474,3,Left Center Midfield,0.8622
Achraf Hakimi Mouh,2.57678,0.00501,0.00079,0.27626,514,3,Right Back,0.85893
Enzo Fernandez,2.563,0.00375,0.00101,0.34846,683,3,Center Defensive Midfield,0.85433
Luke Shaw,3.40127,0.00443,0.00146,0.35463,767,4,Left Back,0.85032
Jorge Resurrección Merodio,1.68928,0.00445,0.00179,0.31053,380,2,Right Center Midfield,0.84464
Aymeric Laporte,1.61961,0.00219,0.00021,0.42375,741,2,Right Center Back,0.8098
Álvaro Borja Morata Martín,1.61514,0.00887,0.00351,0.19231,182,2,Center Forward,0.80757
Azzedine Ounahi,2.39811,0.00564,0.00184,0.38353,425,3,Right Center Midfield,0.79937
Pierre-Emile Højbjerg,1.59485,0.00414,0.00065,0.36883,385,2,Right Defensive Midfield,0.79742
Hakim Ziyech,2.32736,0.00442,0.00097,0.55323,526,3,Right Midfield,0.77579
Jorge Luiz Frello Filho,2.30679,0.00344,0.00067,0.307,671,3,Center Defensive Midfield,0.76893
César Azpilicueta Tanco,1.51435,0.00373,0.00029,0.29064,406,2,Right Back,0.75718
Federico Chiesa,2.26088,0.00725,0.00347,0.28526,312,3,Right Wing,0.75363
Ciro Immobile,2.23072,0.00835,0.00269,0.10861,267,3,Center Forward,0.74357
Harry Maguire,2.92014,0.00317,0.00081,0.36087,920,4,Left Center Back,0.73004
Bukayo Saka,2.17297,0.00703,0.00147,0.22006,309,3,Right Wing,0.72432
Ferrán Torres García,1.44127,0.00619,0.00224,0.3133,233,2,Right Wing,0.72064
Kalvin Phillips,2.15405,0.00391,0.00067,0.22323,551,3,Right Defensive Midfield,0.71802
Mikkel Damsgaard,1.43523,0.0078,0.00325,0.28804,184,2,Right Attacking Midfield,0.71762
Ivan Perišić,2.13926,0.00574,0.00154,0.39678,373,3,Left Wing,0.71309
Mikel Oyarzabal Ugarte,1.39542,0.00754,0.0022,0.16216,185,2,Right Wing,0.69771
Josip Juranović,1.37297,0.00392,0.00082,0.29429,350,2,Right Back,0.68648
Adrien Rabiot,1.37109,0.00478,0.00108,0.4007,287,2,Left Defensive Midfield,0.68554
Rodrigo Javier De Paul,2.04585,0.0041,0.00126,0.33066,499,3,Right Center Midfield,0.68195
Mason Mount,2.63223,0.0063,0.00261,0.29904,418,4,Center Attacking Midfield,0.65806
Leonardo Bonucci,1.971,0.00301,0.00161,0.54434,654,3,Right Center Back,0.657
Julián Álvarez,1.94574,0.00653,0.00131,0.11409,298,3,Left Center Forward,0.64858
Randal Kolo Muani,1.27183,0.01078,0.0122,0.26271,118,2,Right Wing,0.63592
Thomas Delaney,1.24133,0.00554,0.00237,0.28571,224,2,Left Defensive Midfield,0.62066
Olivier Giroud,1.84208,0.01173,0.0083,0.2293,157,3,Center Forward,0.61403
Dejan Lovren,1.22389,0.00302,0.00047,0.27901,405,2,Right Center Back,0.61194
Yussuf Yurary Poulsen,1.20867,0.0078,0.00274,0.27742,155,2,Center Forward,0.60433
Marcos Llorente Moreno,1.20518,0.00825,0.00611,0.13699,146,2,Right Center Midfield,0.60259
Pau Francisco Torres,1.20041,0.00273,0.00125,0.31136,440,2,Left Center Back,0.6002
Joakim Mæhle,1.19326,0.00535,0.00183,0.287,223,2,Left Wing Back,0.59663
Giovanni Di Lorenzo,1.78152,0.00406,0.00163,0.36219,439,3,Right Back,0.59384
Antoine Griezmann,1.77187,0.00472,0.0017,0.37867,375,3,Center Attacking Midfield,0.59062
Jannik Vestergaard,1.17343,0.00561,0.00086,0.35885,209,2,Left Center Back,0.58672
John Stones,2.32398,0.00279,0.00056,0.24519,832,4,Right Center Back,0.581
Nicolò Barella,1.73333,0.00456,0.00126,0.25789,380,3,Right Center Midfield,0.57778
Declan Rice,2.25622,0.00373,0.0005,0.27107,605,4,Left Defensive Midfield,0.56406
Aurélien Djani Tchouaméni,1.6886,0.00378,0.00294,0.39821,447,3,Right Defensive Midfield,0.56287
Simon Thorup Kjær,1.09811,0.00426,0.00049,0.25194,258,2,Center Back,0.54905
Kyle Walker,2.18491,0.00322,0.00026,0.29204,678,4,Right Back,0.54623
Marcus Thuram,1.08227,0.00698,0.00252,0.28387,155,2,Left Wing,0.54114
Joško Gvardiol,1.60614,0.00289,0.00054,0.29676,556,3,Left Center Back,0.53538
Ángel Fabián Di María Hernández,1.06452,0.00865,0.00535,0.19512,123,2,Right Wing,0.53226
Jude Bellingham,1.04775,0.00501,0.00215,0.26316,209,2,Left Defensive Midfield,0.52388
Emerson Palmieri dos Santos,1.55588,0.00515,0.00112,0.28146,302,3,Left Back,0.51863
Giorgio Chiellini,1.54911,0.00285,0.00048,0.27256,543,3,Left Center Back,0.51637
Andrej Kramarić,1.51968,0.00567,0.00172,0.15672,268,3,Center Forward,0.50656
Jens Stryger Larsen,1.0105,0.00552,0.0005,0.40984,183,2,Right Wing Back,0.50525
Philip Foden,1.00737,0.00714,0.00194,0.19858,141,2,Center Attacking Midfield,0.50369
Sofyan Amrabat,1.50165,0.00348,0.00037,0.5,432,3,Center Defensive Midfield,0.50055
Jules Koundé,1.47342,0.00387,0.00049,0.27822,381,3,Right Back,0.49114
Yahia Attiyat allah,1.41871,0.00541,0.00286,0.4542,262,3,Left Back,0.4729
Nicolás Hernán Otamendi,1.40451,0.00268,0.00024,0.25573,524,3,Center Back,0.46817
Theo Bernard François Hernández,1.40176,0.00437,0.001,0.29595,321,3,Left Back,0.46725
Lautaro Javier Martínez,0.9327,0.01072,0.02172,0.03448,87,2,Left Center Forward,0.46635
Achraf Dari,1.38309,0.00494,0.00186,0.25714,280,3,Right Center Back,0.46103
Dayotchanculle Upamecano,0.90931,0.00315,0.00013,0.46713,289,2,Left Center Back,0.45466
Youssef En-Nesyri,1.34732,0.00864,0.00637,0.08333,156,3,Center Forward,0.44911
Kasper Dolberg,0.89819,0.00707,0.00465,0.19685,127,2,Center Forward,0.4491
Ousmane Dembélé,1.34699,0.00541,0.00134,0.29317,249,3,Right Wing,0.449
Cristian Gabriel Romero,1.32928,0.00337,0.00027,0.46193,394,3,Right Center Back,0.44309
Kasper Schmeichel,0.88506,0.0067,-0.00028,0.53788,132,2,Goalkeeper,0.44253
Jordan Brian Henderson,1.76878,0.00454,0.00134,0.31282,390,4,Left Defensive Midfield,0.4422
