Feature,Mean_SHAP_Abs
dist_to_goal,0.0013569522296304568
location_x,0.0011471307611121604
pressing_intensity,0.0007591679380884813
angle_to_goal,0.00043801215582972867
play_pattern_name,0.00036521570389884807
teammates_visible,0.00035504212799293365
pressure_relief,0.00029708845884553756
duration,0.00029500236125381955
closest_opp_dist,0.00024353118885064295
location_y,0.00022004628112666313
opponents_visible,0.0002162889991690615
forward_passing_options,0.0001741030205276671
defenders_in_goal_cone,0.00015877586335420757
pass_progression_ratio,0.00014119937076377933
line_break_ratio,0.00013414151907140438
opponents_eliminated,0.00012892412633650545
opponents_within_5m,0.00011365695288029291
space_creation_index,8.954015257085641e-05
under_pressure,5.7886161194202755e-05
spatial_superiority,4.643614979096288e-05
short_combo_options,4.314825055432008e-05
defensive_cover,2.7264958099841714e-05
opponents_within_3m,1.2403497724949908e-05
