Feature,Mean_SHAP_Abs
location_x,0.0006895104564885536
closest_opp_dist,0.0005546793972779794
angle_to_goal,0.00046714530047274117
pressing_intensity,0.00043908523723974367
under_pressure,0.00043496717858359564
duration,0.00041443286205391095
dist_to_goal,0.00040114003720706894
defensive_cover,0.00038601406311231795
position_name,0.0003841267888662233
play_pattern_name,0.0002469517601396213
pressure_relief,0.00023589587686299724
pass_progression_ratio,0.0002282478154960609
defenders_in_goal_cone,0.00020980710384847887
opponents_visible,0.0001584997843906558
teammates_visible,0.00015509859962456514
space_creation_index,0.000149739958528726
location_y,0.00014326756470866523
opponents_within_5m,0.00011888151972711317
line_break_ratio,0.00010202604508607329
opponents_within_3m,8.283560408992209e-05
opponents_eliminated,7.346095571008565e-05
spatial_superiority,6.562659384891739e-05
short_combo_options,4.293156451716786e-05
forward_passing_options,2.7181224272518982e-05
