player,aura_score,actions,matches,position,team
Marten de Roon,1.6117,82,1,Right Defensive Midfield,Netherlands
Rúben Diogo Da Silva Neves,1.5937,178,1,Center Defensive Midfield,Portugal
Serhii Sydorchuk,1.5751,122,1,Center Defensive Midfield,Ukraine
Frenkie de Jong,1.5597,260,1,Left Defensive Midfield,Netherlands
Rúben Santos Gato Alves Dias,1.5549,234,1,Left Center Back,Portugal
Leandro Daniel Paredes,1.5535,273,3,Center Defensive Midfield,Argentina
Vitor Machado Ferreira,1.502,101,1,Right Defensive Midfield,Portugal
Sergio Busquets i Burgos,1.47,517,2,Center Defensive Midfield,Spain
Pau Francisco Torres,1.4583,440,2,Left Center Back,Spain
Kléper Laveran Lima Ferreira,1.4554,269,1,Right Center Back,Portugal
Fabian Lukas Schär,1.4521,19,1,Right Center Midfield,Switzerland
Aymeric Laporte,1.4503,741,2,Left Center Back,Spain
Evgeny Makarenko,1.4488,72,1,Center Defensive Midfield,Ukraine
Teun Koopmeiners,1.4447,102,1,Right Defensive Midfield,Netherlands
Nicolás Hernán Otamendi,1.4309,524,3,Left Center Back,Argentina
Otávio Edmilson da Silva Monteiro,1.4285,156,1,Left Center Midfield,Portugal
Mykola Matvienko,1.4048,293,1,Left Center Back,Ukraine
Virgil van Dijk,1.3995,239,1,Center Back,Netherlands
Bernardo Mota Veiga de Carvalho e Silva,1.3786,267,1,Right Center Midfield,Portugal
Aurélien Djani Tchouaméni,1.3767,447,3,Right Defensive Midfield,France
Remo Freuler,1.3716,95,1,Left Center Midfield,Switzerland
Illia Zabarnyi,1.362,173,1,Right Center Back,Ukraine
Enzo Fernandez,1.3616,683,3,Center Defensive Midfield,Argentina
Mykola Shaparenko,1.3451,211,1,Right Center Midfield,Ukraine
Eric García Martret,1.3449,351,1,Right Center Back,Spain
Romain Saïss,1.339,67,2,Center Back,Morocco
Marcos Aoás Corrêa,1.3377,249,1,Right Center Back,Brazil
Jurriën David Norman Timber,1.3323,247,1,Right Center Back,Netherlands
Raphaël Varane,1.3291,393,3,Right Center Back,France
Sofyan Amrabat,1.3253,432,3,Center Defensive Midfield,Morocco
Thiago Emiliano da Silva,1.3235,246,1,Left Center Back,Brazil
Germán Alejandro Pezzella,1.3226,80,2,Center Back,Argentina
Rodrigo Hernández Cascante,1.3201,130,2,Right Center Midfield,Spain
Cristian Gabriel Romero,1.3194,394,3,Right Center Back,Argentina
John Stones,1.3185,832,4,Right Center Back,England
Lisandro Martínez,1.3141,115,2,Left Center Back,Argentina
Luka Modrić,1.306,764,3,Right Defensive Midfield,Croatia
Serhiy Kryvtsov,1.3052,55,1,Center Back,Ukraine
Jorge Resurrección Merodio,1.2952,380,2,Right Center Midfield,Spain
Dennis Praet,1.2949,12,1,Left Wing Back,Belgium
